Date,Predicted
2021-11-01,11277.418392210098
2021-11-02,12276.356974911327
2021-11-03,13179.801861389247
2021-11-04,12574.60564630546
2021-11-05,12119.930857302845
2021-11-06,13170.321424198264
2021-11-07,13100.503555541925
2021-11-08,12093.707247612303
2021-11-09,12491.246068607396
2021-11-10,13275.724788823252
2021-11-11,12538.793247925654
2021-11-12,12104.050574734465
2021-11-13,13008.171560360917
2021-11-14,13058.67213635546
2021-11-15,12164.286012114999
2021-11-16,12493.676435706506
2021-11-17,13218.008547285925
2021-11-18,12592.243927307958
2021-11-19,12154.024099826745
2021-11-20,12944.554163917277
2021-11-21,13035.241873061283
2021-11-22,12232.175984414775
2021-11-23,12483.44058134932
2021-11-24,13154.809928557159
2021-11-25,12628.29276431528
2021-11-26,12200.607350157954
2021-11-27,12890.644407458396
2021-11-28,13013.411395947083
2021-11-29,12293.713904155735
2021-11-30,12478.581535867808
